entity,count
China,1746
Chinese,538
ASEAN,128
Asia,109
CEE,99
Pakistan,97
Africa,91
Russia,75
Thailand,75
African,71
India,69
APEC,69
the United States,65
Xi Jinping,65
Mexico,46
Europe,44
the Asia-Pacific,43
Pacific island,40
Asian,36
Latin America,36
Caribbean,29
BRICS,27
East Asia,26
Switzerland,25
Syrian,24
the Korean Peninsula,24
Syria,24
the Peoples Republic of China,23
European,23
Mexican,23
FTA,22
SCO,22
Germany,22
Asia-Pacific,21
the Asia Pacific,19
Brazil,19
DOC,18
Kazakhstan,18
Thai,17
Trinidad,17
Tobago,17
Pakistani,17
Malaysia,17
China-Africa,16
the United Nations,15
South Africa,15
the South China Sea,14
Russian,14
Tanzania,13
South Asia,13
Peninsula,12
Latin American,11
Beijing,11
the Party Central Committee,11
Kyrgyzstan,11
Party,11
Wang Yi,10
Putin,10
Speech,10
CPC,9
New China,9
East Asian,9
North-South,9
Kazakh,9
Central Asian,9
Southeast Asia,9
Costa Rica,9
Dear Friends,8
Iranian,8
the Communist Party of China,8
Li Keqiang,8
Xi Jinpings,8
Obama,8
South China Sea,8
Gentlemen,8
Northeast Asia,8
HE Xi Jinping,8
St Petersburg,8
Turkmenistan,8
Wang,8
German,8
the CPC Central Committee,7
the Asia-Pacific region,7
Korean,7
the State Council of the Peoples Republic of China,7
Pacific,7
South-South,7
the Security Council,7
Indian,7
WTO,6
the UN Security Council,6
Afghanistan,6
HE Li Keqiang,6
Southeast Asian,6
Wenchuan,6
EAS,6
IMF,6
Uzbekistan,6
South African,6
CPC Central Committee,5
California,5
the Regional Comprehensive Economic Partnership,5
the Chinese Foreign Ministry,5
the National Assembly,5
Senate,5
Lin Bing,5
Zheng,5
American,5
the Brookings Institution,5
Almaty,5
Eurasian,5
the Peoples Republic,5
Confucius,5
Congress,5
the African Union,5
the Organization of African Unity,5
non-Asian,5
the East Asia Summit,4
Brunei,4
TPP,4
The Asia-Pacific,4
the UN Millennium Development Goals,4
Party Congress,4
Romania,4
Central,4
Bucharest,4
the European Union,4
Pacific Ocean,4
Bangkok,4
COC,4
the Middle East,4
the UN Charter,4
Chair,4
Nazarbayev University,4
Central Asia,4
Xian,4
Vladimir Putin,4
Wang Yang,4
CAFTA,4
Durban,4
Pea,4
Swiss,4
South Asian,4
Tanzanian,4
The Third Plenum of,3
Myanmar,3
the Shanghai Cooperation Organization,3
the China-EU,3
Strategic Agenda for Cooperation,3
North America,3
the Pacific Ocean,3
Barack Obama,3
Eastern European,3
Central and Eastern Europe,3
Dear Colleagues,3
Budapest,3
Guangdong,3
Indian Ocean,3
Confucius Institutes,3
the Yangtze River,3
the Ming Dynasty,3
Bali,3
OPCW,3
Jordan,3
Palestinian,3
North,3
South,3
Jinping,3
Taiwan,3
IPR,3
Straits,3
Nazarbayev,3
West Asia,3
the World Bank,3
solidarity,3
the Republic of the Congo,3
The Party Central Committee,3
State,3
Plan,3
Zurich,3
the Indian Council of World Affairs,3
National Congress,3
Keynote Speech,3
Hainan,3
Moscow State Institute of International Relations,3
RTR,3
ETV,3
Press Trust of India,3
Valor Economico,3
Xinhua News Agency,3
Diplomatic Envoys,2
Annenberg Estate,2
Iran,2
Australia,2
Central Committee,2
the Ministry of Foreign Affairs,2
HE Wang Yi,2
the Doha Round,2
Dear Friends Ladies and Gentlemen,2
the Political Bureau,2
