"","year","keyword","count"
"1",2005,"count_Taiwan",3
"2",2006,"count_Taiwan",66
"3",2007,"count_Taiwan",37
"4",2008,"count_Taiwan",16
"5",2009,"count_Taiwan",25
"6",2010,"count_Taiwan",15
"7",2011,"count_Taiwan",10
"8",2012,"count_Taiwan",14
"9",2013,"count_Taiwan",4
"10",2014,"count_Taiwan",1
"11",2015,"count_Taiwan",5
"12",2016,"count_Taiwan",5
"13",2017,"count_Taiwan",3
"14",2018,"count_Taiwan",0
"15",2019,"count_Taiwan",8
"16",2020,"count_Taiwan",10
"17",2021,"count_Taiwan",14
"18",2022,"count_Taiwan",84
"19",2023,"count_Taiwan",25
"20",2024,"count_Taiwan",24
"22",2005,"count_Hong_Kong",3
"23",2006,"count_Hong_Kong",1
"24",2007,"count_Hong_Kong",0
"25",2008,"count_Hong_Kong",0
"26",2009,"count_Hong_Kong",9
"27",2010,"count_Hong_Kong",0
"28",2011,"count_Hong_Kong",0
"29",2012,"count_Hong_Kong",5
"30",2013,"count_Hong_Kong",0
"31",2014,"count_Hong_Kong",2
"32",2015,"count_Hong_Kong",22
"33",2016,"count_Hong_Kong",0
"34",2017,"count_Hong_Kong",1
"35",2018,"count_Hong_Kong",0
"36",2019,"count_Hong_Kong",16
"37",2020,"count_Hong_Kong",44
"38",2021,"count_Hong_Kong",22
"39",2022,"count_Hong_Kong",21
"40",2023,"count_Hong_Kong",11
"41",2024,"count_Hong_Kong",1
"43",2005,"count_Ukraine",0
"44",2006,"count_Ukraine",0
"45",2007,"count_Ukraine",0
"46",2008,"count_Ukraine",0
"47",2009,"count_Ukraine",0
"48",2010,"count_Ukraine",0
"49",2011,"count_Ukraine",0
"50",2012,"count_Ukraine",0
"51",2013,"count_Ukraine",0
"52",2014,"count_Ukraine",8
"53",2015,"count_Ukraine",14
"54",2016,"count_Ukraine",0
"55",2017,"count_Ukraine",0
"56",2018,"count_Ukraine",0
"57",2019,"count_Ukraine",0
"58",2020,"count_Ukraine",0
"59",2021,"count_Ukraine",0
"60",2022,"count_Ukraine",12
"61",2023,"count_Ukraine",16
"62",2024,"count_Ukraine",33
"64",2005,"count_South_China_Sea",4
"65",2006,"count_South_China_Sea",3
"66",2007,"count_South_China_Sea",4
"67",2008,"count_South_China_Sea",0
"68",2009,"count_South_China_Sea",0
"69",2010,"count_South_China_Sea",7
"70",2011,"count_South_China_Sea",12
"71",2012,"count_South_China_Sea",2
"72",2013,"count_South_China_Sea",27
"73",2014,"count_South_China_Sea",12
"74",2015,"count_South_China_Sea",44
"75",2016,"count_South_China_Sea",132
"76",2017,"count_South_China_Sea",23
"77",2018,"count_South_China_Sea",2
"78",2019,"count_South_China_Sea",18
"79",2020,"count_South_China_Sea",14
"80",2021,"count_South_China_Sea",6
"81",2022,"count_South_China_Sea",57
"82",2023,"count_South_China_Sea",2
"83",2024,"count_South_China_Sea",10
"85",2005,"count_Xinjiang",0
"86",2006,"count_Xinjiang",0
"87",2007,"count_Xinjiang",0
"88",2008,"count_Xinjiang",0
"89",2009,"count_Xinjiang",0
"90",2010,"count_Xinjiang",1
"91",2011,"count_Xinjiang",1
"92",2012,"count_Xinjiang",13
"93",2013,"count_Xinjiang",2
"94",2014,"count_Xinjiang",0
"95",2015,"count_Xinjiang",1
"96",2016,"count_Xinjiang",1
"97",2017,"count_Xinjiang",1
"98",2018,"count_Xinjiang",0
"99",2019,"count_Xinjiang",21
"100",2020,"count_Xinjiang",40
"101",2021,"count_Xinjiang",21
"102",2022,"count_Xinjiang",11
"103",2023,"count_Xinjiang",2
"104",2024,"count_Xinjiang",0
"106",2005,"count_Tibet",0
"107",2006,"count_Tibet",1
"108",2007,"count_Tibet",0
"109",2008,"count_Tibet",2
"110",2009,"count_Tibet",20
"111",2010,"count_Tibet",3
"112",2011,"count_Tibet",2
"113",2012,"count_Tibet",9
"114",2013,"count_Tibet",0
"115",2014,"count_Tibet",1
"116",2015,"count_Tibet",0
"117",2016,"count_Tibet",1
"118",2017,"count_Tibet",1
"119",2018,"count_Tibet",0
"120",2019,"count_Tibet",3
"121",2020,"count_Tibet",5
"122",2021,"count_Tibet",2
"123",2022,"count_Tibet",2
"124",2023,"count_Tibet",1
"125",2024,"count_Tibet",0
